AeroDyn airfoil file Created with QBlade v0.963 64bit on 18.06.2022 at 14:02:26 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
8.00           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.15          Angle of attack for zero Cn for linear Cn curve (deg)
8.76021        Cn slope for zero lift for linear Cn curve (1/rad)
0.8357         Cn at stall value for positive angle of attack for linear Cn curve
-0.8163        Cn at stall value for negative angle of attack for linear Cn curve
-5.00          Angle of attack for minimum CD (deg)
0.0125         Minimum CD value
    -69.00   -0.3735    1.4251
    -68.00   -0.3855    1.4062
    -67.00   -0.3972    1.3866
    -66.00   -0.4086    1.3663
    -65.00   -0.4197    1.3453
    -64.00   -0.4304    1.3238
    -63.00   -0.4409    1.3016
    -62.00   -0.4509    1.2788
    -61.00   -0.4607    1.2555
    -60.00   -0.4700    1.2316
    -59.00   -0.4790    1.2072
    -58.00   -0.4875    1.1824
    -57.00   -0.4957    1.1571
    -56.00   -0.5034    1.1314
    -55.00   -0.5107    1.1053
    -54.00   -0.5175    1.0788
    -53.00   -0.5238    1.0520
    -52.00   -0.5297    1.0250
    -51.00   -0.5351    0.9976
    -50.00   -0.5400    0.9701
    -49.00   -0.5443    0.9423
    -48.00   -0.5482    0.9144
    -47.00   -0.5514    0.8863
    -46.00   -0.5542    0.8582
    -45.00   -0.5563    0.8300
    -44.00   -0.5579    0.8017
    -43.00   -0.5588    0.7735
    -42.00   -0.5592    0.7453
    -41.00   -0.5590    0.7171
    -40.00   -0.5581    0.6891
    -39.00   -0.5566    0.6612
    -38.00   -0.5545    0.6335
    -37.00   -0.5517    0.6060
    -36.00   -0.5483    0.5787
    -35.00   -0.5442    0.5517
    -34.00   -0.5395    0.5251
    -33.00   -0.5341    0.4987
    -32.00   -0.5281    0.4727
    -31.00   -0.5215    0.4471
    -30.00   -0.5142    0.4220
    -29.00   -0.5064    0.3973
    -28.00   -0.4979    0.3731
    -27.00   -0.4890    0.3494
    -26.00   -0.4795    0.3263
    -25.00   -0.4697    0.3037
    -24.00   -0.4596    0.2818
    -23.00   -0.4493    0.2604
    -22.00   -0.4390    0.2397
    -21.00   -0.4290    0.2196
    -20.00   -0.4197    0.2002
    -19.00   -0.4116    0.1814
    -18.00   -0.4057    0.1633
    -17.00   -0.4031    0.1457
    -16.00   -0.4060    0.1288
    -15.00   -0.4175    0.1122
    -14.00   -0.4426    0.0960
    -13.00   -0.4890    0.0800
    -12.00   -0.5665    0.0638
    -11.00   -0.6821    0.0476
    -10.00   -0.8217    0.0326
     -9.00   -0.9270    0.0210
     -8.00   -0.9268    0.0149
     -7.00   -0.8209    0.0130
     -6.00   -0.6662    0.0126
     -5.00   -0.5024    0.0125
     -4.00   -0.2095    0.0485
     -3.50   -0.1544    0.0432
     -3.00   -0.0935    0.0388
     -2.50   -0.0375    0.0363
     -2.00    0.0163    0.0349
     -1.50    0.0714    0.0343
     -1.00    0.1345    0.0334
      0.00    0.3176    0.0344
      0.50    0.4552    0.0336
      1.00    0.5857    0.0311
      1.50    0.6944    0.0272
      2.00    0.7718    0.0244
      2.50    0.8354    0.0252
      3.00    0.8852    0.0278
      3.50    0.9324    0.0302
      4.00    0.9835    0.0327
      4.50    1.0320    0.0358
      5.00    1.0808    0.0386
      5.50    1.1237    0.0421
      6.00    1.1675    0.0461
      6.50    1.1971    0.0514
      7.00    1.2091    0.0574
      8.00    1.2867    0.0556
      8.50    1.2847    0.0613
      9.00    1.2758    0.0671
      9.50    1.2178    0.0753
     10.00    1.1144    0.0911
     11.00    1.0015    0.0492
     12.00    0.9090    0.0630
     13.00    0.8382    0.0779
     14.00    0.7886    0.0937
     15.00    0.7568    0.1102
     16.00    0.7389    0.1275
     17.00    0.7316    0.1454
     18.00    0.7324    0.1640
     19.00    0.7391    0.1834
     20.00    0.7501    0.2034
     21.00    0.7644    0.2242
     22.00    0.7811    0.2458
     23.00    0.7995    0.2680
     24.00    0.8192    0.2910
     25.00    0.8397    0.3146
     26.00    0.8606    0.3389
     27.00    0.8819    0.3639
     28.00    0.9032    0.3895
     29.00    0.9244    0.4157
     30.00    0.9453    0.4424
     31.00    0.9659    0.4698
     32.00    0.9860    0.4976
     33.00    1.0056    0.5260
     34.00    1.0245    0.5548
     35.00    1.0427    0.5840
     36.00    1.0601    0.6136
     37.00    1.0766    0.6436
     38.00    1.0923    0.6739
     39.00    1.1069    0.7045
     40.00    1.1206    0.7353
     41.00    1.1333    0.7663
     42.00    1.1449    0.7976
     43.00    1.1553    0.8289
     44.00    1.1646    0.8604
     45.00    1.1727    0.8919
     46.00    1.1796    0.9235
     47.00    1.1852    0.9550
     48.00    1.1896    0.9865
     49.00    1.1926    1.0179
     50.00    1.1943    1.0492
     51.00    1.1947    1.0803
     52.00    1.1938    1.1112
     53.00    1.1914    1.1419
     54.00    1.1877    1.1722
     55.00    1.1826    1.2023
     56.00    1.1761    1.2320
     57.00    1.1681    1.2612
     58.00    1.1588    1.2901
     59.00    1.1480    1.3185
     60.00    1.1359    1.3464
     61.00    1.1223    1.3737
     62.00    1.1073    1.4005
     63.00    1.0909    1.4267
     64.00    1.0731    1.4522
     65.00    1.0540    1.4770
     66.00    1.0335    1.5012
     67.00    1.0116    1.5246
     68.00    0.9884    1.5472
     69.00    0.9639    1.5691
     70.00    0.9382    1.5901
     71.00    0.9111    1.6103
     72.00    0.8829    1.6296
     73.00    0.8534    1.6480
     74.00    0.8228    1.6655
     75.00    0.7911    1.6820
     76.00    0.7583    1.6976
     77.00    0.7244    1.7122
     78.00    0.6895    1.7258
     79.00    0.6537    1.7383
     80.00    0.6169    1.7498
     81.00    0.5793    1.7603
     82.00    0.5408    1.7697
     83.00    0.5016    1.7781
     84.00    0.4616    1.7853
     85.00    0.4209    1.7914
     86.00    0.3797    1.7965
     87.00    0.3379    1.8004
     88.00    0.2956    1.8032
     89.00    0.2528    1.8049
     90.00    0.2097    1.8055
     91.00    0.1662    1.8049
     92.00    0.1225    1.8032
     93.00    0.0786    1.8004
     94.00    0.0345    1.7965
     95.00   -0.0096    1.7915
     96.00   -0.0537    1.7853
     97.00   -0.0978    1.7781
     98.00   -0.1417    1.7698
     99.00   -0.1854    1.7604
    100.00   -0.2289    1.7499
    101.00   -0.2721    1.7384
    102.00   -0.3149    1.7259
    103.00   -0.3572    1.7123
    104.00   -0.3990    1.6977
    105.00   -0.4402    1.6822
    106.00   -0.4808    1.6656
    107.00   -0.5207    1.6482
    108.00   -0.5598    1.6298
    109.00   -0.5991    1.6105
    110.00   -0.6365    1.5903
    111.00   -0.6730    1.5693
    112.00   -0.7085    1.5475
    113.00   -0.7430    1.5248
    114.00   -0.7763    1.5014
    115.00   -0.8085    1.4773
    116.00   -0.8395    1.4525
    117.00   -0.8693    1.4270
    118.00   -0.8978    1.4008
    119.00   -0.9249    1.3741
    120.00   -0.9507    1.3467
    121.00   -0.9751    1.3189
    122.00   -0.9980    1.2905
    123.00   -1.0195    1.2617
    124.00   -1.0394    1.2324
    125.00   -1.0579    1.2028
    126.00   -1.0747    1.1727
    127.00   -1.0900    1.1424
    128.00   -1.1038    1.1118
    129.00   -1.1159    1.0809
    130.00   -1.1263    1.0499
    131.00   -1.1352    1.0186
    132.00   -1.1424    0.9873
    133.00   -1.1480    0.9558
    134.00   -1.1519    0.9243
    135.00   -1.1542    0.8928
    136.00   -1.1549    0.8613
    137.00   -1.1539    0.8299
    138.00   -1.1514    0.7986
    139.00   -1.1472    0.7674
    140.00   -1.1415    0.7365
    141.00   -1.1342    0.7057
    142.00   -1.1254    0.6752
    143.00   -1.1151    0.6450
    144.00   -1.1033    0.6151
    145.00   -1.0901    0.5856
    146.00   -1.0755    0.5565
    147.00   -1.0596    0.5278
    148.00   -1.0423    0.4996
    149.00   -1.0238    0.4720
    150.00   -1.0041    0.4448
    151.00   -0.9832    0.4182
    152.00   -0.9613    0.3923
    153.00   -0.9384    0.3669
    154.00   -0.9145    0.3423
    155.00   -0.8898    0.3183
    156.00   -0.8644    0.2950
    157.00   -0.8384    0.2725
    158.00   -0.8118    0.2508
    159.00   -0.7850    0.2298
    160.00   -0.7580    0.2097
    161.00   -0.7312    0.1904
    162.00   -0.7049    0.1720
    163.00   -0.6794    0.1545
    164.00   -0.6556    0.1378
    165.00   -0.6341    0.1221
    166.00   -0.6162    0.1074
    167.00   -0.6037    0.0936
    168.00   -0.5988    0.0808
    169.00   -0.6049    0.0689
    170.00   -0.6255    0.0581
    171.00   -0.6622    0.0482
    172.00   -0.7100    0.0394
    173.00   -0.7488    0.0316
    174.00   -0.7475    0.0248
    175.00   -0.6879    0.0191
    176.00   -0.5823    0.0144
    177.00   -0.4560    0.0107
    178.00   -0.3250    0.0081
    179.00   -0.1938    0.0065
    180.00   -0.0626    0.0060
    180.00   -0.0626    0.0060
